stage,butterfly,index_a,index_b,twiddle
0,0,0,1,1
0,1,2,3,1
0,2,4,5,1
0,3,6,7,1
0,4,8,9,1
0,5,10,11,1
0,6,12,13,1
0,7,14,15,1
1,0,0,2,1
1,1,1,3,8388480
1,2,4,6,1
1,3,5,7,8388480
1,4,8,10,1
1,5,9,11,8388480
1,6,12,14,1
1,7,13,15,8388480
2,0,0,4,1
2,1,1,5,808610892
2,2,2,6,8388480
2,3,3,7,412890215
2,4,8,12,1
2,5,9,13,808610892
2,6,10,14,8388480
2,7,11,15,412890215
3,0,0,8,1
3,1,1,9,1051583792
3,2,2,10,808610892
3,3,3,11,286011093
3,4,4,12,8388480
3,5,5,13,103009083
3,6,6,14,412890215
3,7,7,15,918502623
